교육과정명,원본키워드,분야키워드,기술키워드,도구키워드,업무키워드,메타키워드
인공지능으로 업그레이드 하는 스마트 CS,"4차 산업혁명, CS(고객 서비스), 디지털 기술, 인공지능(AI), 고객 경험(CX), 고객 만족, GPT, 스마트 CS, 챗봇, CRM, 스마트 마케팅, 서비스 플랫폼.","CS/고객관리, 인공지능",생성형AI,,"CS/고객관리, 서비스기획",실무형인재
"(산대특)AI를 활용한 영상콘텐츠제작(프리미어,에펙)_향상","프리미어 프로, 에프터 이펙트, 영상 편집, AI 툴, 생성형 AI, 영상 콘텐츠 제작, 미디어 미디어 제작, 실무 역량 강화, 전문 인력 양성.","미디어, 인공지능",생성형AI,"프리미어프로, 에프터이펙트",콘텐츠제작,실무형인재
Microsoft Copilot 프롬프트 엔지니어링: AI로 LLM 마스터 클래스,"Microsoft Copilot, 프롬프트 엔지니어링, LLM(대형 언어 모델), 업무 자동화, AI 문서 작성, 실무 데이터 분석, 마케팅 및 기획, IT 실무 역량, AI 리터러시, 초급 가이드.","인공지능, 직무공통","프롬프트엔지니어링, LLM, 데이터분석",Copilot,"업무자동화, 기획/보고",기초/입문
일잘러의ChatGPT완벽활용법,"ChatGPT, 프롬프트 엔지니어링, 초거대 생성형 AI, 프롬프트 마켓플레이스, 문제 정의, 응답 생성 프로세스, ChatGPT Capabilities(능력), 실무 적용(기획·분석·보고), 초안 작성, 업무 효율화.","인공지능, 직무공통","생성형AI, 프롬프트엔지니어링",ChatGPT,"기획/보고, 업무자동화",실무형인재
챗GPT업무사용매뉴얼,"ChatGPT, 강화학습(RLHF), 언어 모델 개선, 프롬프트 인젝션, 생각의 연결고리(CoT), AI 윤리·법제화, 기술 트렌드, 사회적 영향, 데이터 수집, 실무 매뉴얼(보도자료·보고서·PPT), 핵심인재 이탈 방지, 업무 성과 극대화.","인공지능, 직무공통","생성형AI, 머신러닝, 데이터수집",ChatGPT,"기획/보고, 업무자동화",실무형인재
비전공자도 쉽게 배우는 품질관리 AI 데이터분석 실습,"파이썬(Python) 기초 코딩, 제조업 품질관리(QC), AI 데이터 분석, 스마트팩토리 실무, 공정·출하 검사, 데이터 기반 문제 해결, 비전공자/초급자 맞춤, 단계적 학습(기본·심화), 제조 데이터 진단.","제조/엔지니어링, 빅데이터",데이터분석,Python,"품질관리, 데이터모델링",비전공자/입문
빠르고 쉽게 배우는 파이썬을 이용한 인공지능,"파이썬(Python), 인공지능(AI), AI 학습 프로세스, 로컬 환경 구축, 라이브러리 활용, 분류(Classification), 회귀(Regression), 머신러닝 기초, 데이터 입력 방식, 실전 코딩 역량.",인공지능,머신러닝,Python,데이터엔지니어링,기초/입문
일상과업무를변화시키는AI활용법,"마이크로소프트 코파일럿, 생성형 AI, 챗GPT, AI 자동화, M365, 워드 코파일럿, 파워포인트 코파일럿, 엑셀 코파일럿, 원노트 코파일럿, 아웃룩 코파일럿, 팀즈 코파일럿, 사무 업무 혁신","직무공통, 인공지능","생성형AI, 업무자동화","Copilot, M365, ChatGPT",업무자동화,기초/입문
처음부터 제대로 배우는 AI 기초 (feat. 직무별 현업 데이터 분석 실습),"AI 기초 수학(확률·통계·선형대수), AI 구조 및 원리, 결과 해석 및 검증, Python, Numpy, Pandas, 데이터 전처리, 데이터 시각화, 시계열 데이터 분석, 예측 모델 평가, 스마트팩토리 실무 데이터(생산·품질·자재), 데이터 기반 의사결정, 비전공자 초급, DX(디지털 전환) 전략","빅데이터, 인공지능","통계분석, 데이터전처리, 데이터시각화, 머신러닝","Python, NumPy, Pandas","데이터모델링, 품질관리",비전공자/입문
"HR을 위한 생성형 AI 활용 완결판, 실무부터 윤리까지!","HR 직무 융합, 생성형 AI, AI 리터러시, 데이터 분석, 인사 의사결정 자동화, HR 업무 효율화, AI 윤리 및 법적 이슈, 인사 전략, 재직자 및 취업 준비생, 디지털 역량 강화","HR/기획, 인공지능","생성형AI, 데이터분석",,HR운영/기획,재직자/경력직
"챗GPT시대, 일하는 방식을 바꾸면 기회가 보인다!","ChatGPT, AI 역량, 기업 활용, 효과적인 질문법, 할루시네이션, 거대언어모델(LLM), 오픈소스, 비즈니스 인사이트, 기술 결합, 데이터","경영/비즈니스, 인공지능","생성형AI, LLM",ChatGPT,비즈니스전략,기초/입문
"대기업 실무자가 배우는 생성형 AI 실무 자동화, 고도화","생성형 AI, 프롬프트 엔지니어링, 업무 자동화, MS-OFFICE 자동화, 맞춤형 AI 챗봇, AI 리터러시, 실무 활용 역량, NCS 4수준, 비개발분야, 재직자 및 구직자","직무공통, 인공지능","생성형AI, 프롬프트엔지니어링, 업무자동화",MS Office,업무자동화,"NCS 4수준, 재직자/경력직"
RAG으로 한 번에 배우는 LLM 서비스 개발,"LLM, RAG, 파인튜닝, 프롬프트 엔지니어링, 청킹, 검색 최적화, 벡터 데이터베이스(VectorDB), 재정렬(Re-ranking), 성능 모니터링, 개체명 인식(NER), 감성 분석, 데이터 파이프라인, 시각화, Function Calling, 업무 자동화, LangChain, 임베딩, SBERT, sLLM, 추천 시스템","인공지능, 웹개발","LLM, RAG, 파인튜닝, 프롬프트엔지니어링, 벡터DB, 자연어처리(NLP), 데이터파이프라인",LangChain,"시스템설계, 백엔드개발",심화/고급
LLM을 이용한 AI 서비스 개발부터 운영까지,"LLM, 글로벌 트렌드, ChatGPT, LangChain, RAG, Fine-Tuning, LoRA, 프롬프트 엔지니어링, OpenAI Playground, Google Colab, Function Calling, 임베딩, VectorDB, RAGAS, 시스템 통합, Foundation Model, Quantization, Ollama, LLMOps, CI/CD, AI 보안, 데이터 프라이버시, AI 윤리, No-Code, PromptFlow, Flask, Google Cloud Run, 비즈니스 전망, AI Hype Cycle","인공지능, 웹개발","LLM, RAG, 파인튜닝, 벡터DB, MLOps, CI/CD, 보안","LangChain, Flask, GCP, ChatGPT","시스템설계, 데이터엔지니어링",심화/고급
skill-up 일잘러 PM을 위한 ChatGPT 활용 실무 바이블,"ChatGPT, 프로젝트 관리, 프롬프트 엔지니어링, 업무 자동화(노션·이메일·회의록), 스케줄링, 시장 조사, 경쟁 분석, STP 전략(세분화·타겟팅·포지셔닝), 수익 모델, 기획서 작성, 설문 조사, 요구사항 명세서, 플로우차트, UX/UI 기획, 와이어프레임, A/B 테스트, 데이터 분석, 전략적 의사결정","IT기획, 인공지능","생성형AI, 프롬프트엔지니어링, 업무자동화, 데이터분석",ChatGPT,"프로덕트관리(PM), UI/UX기획",실무형인재
[AI Shift Track] AI 서비스 개발자 과정,"생성형 AI, LLM API, LangChain, RAG(검색 증강 생성), 대화형 AI 서비스, AI 응용 SW 개발, Java, Python, JavaScript, API 설계, 시스템 통합(Integration), MVC, MSA, 서비스 배포, 3년차 이상 개발자, 직무 전환, 실무 프로젝트","웹개발, 인공지능","생성형AI, LLM, RAG, MSA","Java, Python, JavaScript, LangChain","백엔드개발, 프론트엔드개발","재직자/경력직, 직무전환"
인공지능 기초기술 현장적용 가이드,"인공지능의 정의와 인공지능 SW 툴의 활용 방법에 대해 설명,인공지능 적용 사례 및 엔트리를 이용한 실습을 통해 인공지능 코딩을 실시,머신러닝 지도학습, 머신러닝 비지도학습",인공지능,머신러닝,,,기초/입문
Python으로 배우는 데이터 분석과 AI모델링,"데이터를 분석하고 시각화하며, AI 모델링에 적합하도록 전처리하는 방법,머신러닝과 딥러닝 모델 학습을 포함한 데이터 분석 및 AI 모델링 전 과정을 습득하고 실무에 활용,ChatGPT 활용 기본, ChatGPT. 빙. 바드 설명, ChatGPT 활용 분야, ChatGPT로 아이디어 얻기, ChatGPT 실전 비즈니스 실습, ChatGPT로 영어 공부하기","빅데이터, 인공지능","데이터분석, 데이터전처리, 머신러닝, 딥러닝, 생성형AI","Python, ChatGPT",데이터모델링,실무형인재
[상위 1% 인공지능] 수식으로 구현해보는 딥러닝 알고리즘,"딥러닝,역전파의 핵심 알고리즘, 파이썬을 이용하여 직접 알고리즘을 구현,Tensorflow ,신경망,다층 신경망,경사하강법 ",인공지능,딥러닝,"Python, TensorFlow",데이터모델링,심화/고급
인공지능활용능력향상을 위한 데이터 모델링,"Scikit-learn을 활용하여 회귀, 분류, 앙상블, 군집화 등의 머신러닝 모델을 실습하고, TensorFlow를 통해 ANN, CNN, RNN, 강화학습을 포함한 다양한 딥러닝 모델을 구현,교차검증과 하이퍼파라미터 튜닝 등의 최적화 기법을 익혀 모델 성능을 향상시키는 방법을 학습,데이터 분석 및 모델 구축 능력을 배양하며, 최신 AI 기술 트렌드를 반영한 실습을 통해 실무 적용 역량을 강화,","인공지능, 빅데이터","머신러닝, 딥러닝, 데이터분석","Scikit-learn, TensorFlow",데이터모델링,실무형인재
쉽게 배워 바로 쓰는 AI 딥러닝 실무 과정,"AI관련 기본 이론과 실제 현업에서 사용하는 데이터 기분의 파이썬 실습을 통해 딥러닝 기초에 대해 학습,PyTorch 모델링, CNN 이미지 데이터 처리, Object Detection 모델링, 이미지 불량 탐지를 할 수 있는 훈련 과정",인공지능,"딥러닝, 컴퓨터비전","Python, PyTorch",데이터엔지니어링,실무형인재
AI로 일하는 기술: 인공지능의 이해와 활용(Tensorflow실습),"Colab에서 Tensorflow를 활용하여 다양한 딥러닝 모델을 실습, Google Tensorflow Developer Certificate을 취득하여 전문가 수준의 역량,구글이 개발한 딥러닝 개발 환경 Colab과 Tensorflow 플랫폼으로 CNN, Transfer Learning, GAN, NLP, RNN, LSTM 기술 활용 실습",인공지능,"딥러닝, 컴퓨터비전, 자연어처리(NLP)",TensorFlow,데이터모델링,자격증
파이썬을 활용한 AI 모델링 실습 (feat. Kaggle Data),"파이썬 기초를 알고 있는 비전공자 및 초보자, 혹은 데이터 분석을 위한 파이썬 기초 차시를 듣고 바로 강의를 따라올 수 있는 비전공자 및 초보자를 대상으로 AI 모델링을 통해 다양한 문제를 해결할 수 있는 실무 역량,","빅데이터, 인공지능","데이터분석, 머신러닝",Python,데이터모델링,비전공자/입문
파이썬으로 배우는 딥러닝 & 인공지능 기초,"파이썬의 기초 프로그래밍 지식을 습득,딥러닝의 기본 개념과 실습을 통해 딥러닝 모델을 구축하고 응용,텐서플로우의 keras 데이터셋을 활용하여 데이터셋을 전처리하고 모델 학습 및 모델을 평가하는 과정을 학습,다양한 데이터셋(MNIST, CIFAR10, Fashion MNIST)을 사용하여 실습을 통해 AI 분류 모델을 개발,",인공지능,"딥러닝, 데이터전처리","Python, TensorFlow",데이터모델링,기초/입문
비전공자도 쉽게 배우는 핀테크 인공지능 기초실습,"핀테크, 인공지능모델링 관련 분야 종사를 희망하는 취업준비생 및 커리어 전환자를 대상,핀테크와 인공지능 관련 기본이론과 금융데이터 기반의 파이썬 실습과제를 통해 핀테크 인공지능모델링 역량을 강화할 수 있는 훈련과정","금융/핀테크, 인공지능","데이터분석, 인공지능모델링",Python,데이터모델링,"비전공자/입문, 직무전환"
생활 속 데이터로 배우는 AI모델링 완전 기초,"파이썬 기반의 기초 프로그래밍과 데이터 분석 흐름을 이해하여, 공공데이터(여행 소비 데이터)가 AI 학습에 활용되기까지의 전체 과정(수집–전처리–분석)을 파악할 수 있다. 통계적 기초 개념과 탐색적 데이터 분석(EDA)을 바탕으로, 데이터의 특성·분포·패턴을 이해하고 분석 결과를 해석,머신러닝의 기본 원리와 학습 과정을 이해하고, 공공 데이터를 활용한 분류·예측 AI 모델을 설계·구현하고 성능을 평가","빅데이터, 인공지능","데이터전처리, 데이터분석, 통계분석, 머신러닝",Python,데이터엔지니어링,기초/입문
실무에서 바로 쓰는 AutoML 데이터 분석(feat. AlDUez),"AI에 대한 관심은 있지만 코딩에 대한 두려움이 있는 중장년층도 노코드 기반의 AutoML을 활용하여 데이터 분석과 AI의 흐름을 쉽게 이해하고, 실제 생활이나 업무에 바로 적용할 수 있도록 함.","빅데이터, 인공지능","AutoML, 데이터분석",,데이터모델링,"중장년/경력단절, 기초/입문"
실전 바이오헬스 데이터 활용: 데이터 튜토리얼부터 환자 정보 분석까지,"바이오헬스 데이터 분야에 관심이 있는 학습자, Python, SQL 등의 데이터 시각화 및 분석 도구 활용에 의지도가 있는 학습자,바이오 관련 학과 대학생 및 대학원생, 관련 업계 종사자","바이오헬스, 빅데이터","데이터분석, 데이터시각화","Python, SQL",데이터모델링,"전공자우대, 실무형인재"
SK네트웍스 Family AI 캠프,"신기술직종 중 인공지능 기술 중점 훈련으로 수료 후 취업을 희망하는 자를 대상, SW 관련 전공,수학, 통계학 관련 전공,컴퓨터공학, SW, 산업공학, 정보통신학 관련 전공,기타 본 훈련과정과 관련된 전공 파이썬 리눅스 MySQL  AWS 인프라 구축 가이드  런팟(Runpod) 사용자 가이드 파이토치 딥러닝 마스터  LLM을 활용한 실전 AI 애플리케이션 개발 RAG 시스템 구축을 위한 랭체인 실전 가이드","인공지능, 빅데이터, 클라우드","딥러닝, LLM, RAG, 인프라구축","Python, Linux, MySQL, AWS, PyTorch, LangChain","백엔드개발, 시스템설계","전공자우대, 실무형인재"
AI 개발을 위한 기초역량 패키지: Python·수학·통계·ML,"컴퓨팅 사고 기반 문제정의 및 실습환경 구축(Jupyter/Colab, GitHub 등) 공공데이터(Open API) 수집–EDA–전처리/Feature Engineering 모델 이해를 위한 기초 수학·통계(선형대수/미적분/확률·통계 핵심 범위) 회귀·분류 모델링 및 성능평가 지표 해석(Scikit-learn 등 활용)  Python/Pandas 기반으로 공공데이터를 수집·정제·탐색(EDA)·전처리/Feature 설계까지 수행할 수 있다.","빅데이터, 인공지능","데이터수집, 데이터분석, 데이터전처리, 통계분석, 특성공학, 머신러닝","Python, Pandas, GitHub, Scikit-learn",데이터엔지니어링,기초/입문
"[이스트캠프] AI 휴먼(멀티모달, TTS, STT, 프롬프트 엔지니어링, RAG)","풀타임 구직자 대상 컴퓨터공학/전산학/전자과 등 유관 전공자 우대 Python/C언어 프로그래밍, AI 모델링, 자연어 처리 및 음성 모델링 등의 선수학습 보유자 우대 (수료증/포트폴리오로 평가) Python 활용 데이터분석/자연어 처리/음성 모델링 경험자, 인공지능 서비스 기획 및 운영 경험자 우대 및 지방 인재 가산점 부여 자연어 처리 및 음성 모델링 기술, 인공지능 모델링, 프레임워크(Pytorch, Tensorflow) 활용 ",인공지능,"자연어처리(NLP), 생성형AI, 프롬프트엔지니어링, RAG","Python, C/C++, PyTorch, TensorFlow","데이터모델링, 서비스기획","전공자우대, 포트폴리오"
비전공자를 위한 NoCode AI 실무 활용법 - HR/마케팅 편,HR/마케팅 실무 데이터를 활용하여 인공지능 모델을 개발,"HR/기획, 디지털마케팅",인공지능모델링,,,비전공자/입문
"융합_[이스트캠프] AI 퀀트(금융, 인공지능)","풀타임 구직자를 대상으로 하며, 전공은 무관하나 IT 관련 학과(컴퓨터공학, 전산학) 또는 수학-통계 관련 학과(수학과, 통계학과, 응용통계학과) 전공자 우대  Python 활용 데이터 분석 경험자(포트폴리오 평가) 및 자체 LMS VOD 콘텐츠 사전학습자 우대 퀀트 모델링의 기초 통계 및 수학, 시계열 데이터 기반 AI 모델링, 금융 지표 예측, 투자 포트폴리오 구성 및 백테스팅 등을 배워 금융 분야의 포괄적 전문 지식 AI와 금융을 모두 이해하는 융합형 인재를 양성하여 국내 주요 증권사, 자산운용사, 투자운용사 등에 제공함으로써 금융 산업의 데이터 분석 전문 인력 부족을 해소한다.","금융/핀테크, 빅데이터","통계분석, 시계열분석, 데이터분석, AI모델링",Python,"데이터모델링, 금융분석","전공자우대, 포트폴리오"
리액트(React)와 파이어베이스(Firebase)로 시작하는 웹 개발 과정,"리액트(React), 파이어베이스(Firebase), 프론트엔드 개발, 웹 프로그래밍, 기술 향상, 중급, 취업 준비, 선수 지식(HTML·CSS·JS), 서버리스(Serverless), 실무 프로젝트",웹개발,"웹개발, 서버리스","React, Firebase, HTML/CSS, JavaScript",프론트엔드개발,"심화/고급, 실무프로젝트"
업무 단축 끝판왕! 생성형 AI 마스터 클래스,"생성형 AI, 업무 자동화, 프롬프트 엔지니어링, 비즈니스 도입 전략, GPTs, API 연동, 웹 크롤링, 데이터 분석, 보고서 작성, 이미지 생성 AI, 엑셀 VBA, 노코드(No-code), 웹사이트 제작, Perplexity, MS 코파일럿, 업무 효율화, 멀티모달, 실무 프로젝트","인공지능, 직무공통","생성형AI, 업무자동화, 프롬프트엔지니어링, API, 웹크롤링, 데이터분석","ChatGPT, Excel, Copilot","업무자동화, 기획/보고",실무프로젝트
업무 단축 끝판왕! 생성형 AI 마스터 클래스,"생성형 AI, 업무 자동화, 실무 솔루션 설계, 멀티모달(텍스트·이미지·음성), 고급 AI 도구, 업무 효율화 전략, 데이터 생성, AI 도입 및 적용, 디지털 전환(DX)","인공지능, 직무공통","생성형AI, 업무자동화, 멀티모달",,"시스템설계, 업무자동화",심화/고급
인공지능 활용 능력 향상을 위한 패키지 교육,"AICE Associate(국가공인 자격), 데이터 분석, 데이터 처리(전처리), 데이터 모델링, 실전 예제 중심, 실무 적용 사례, 머신러닝·딥러닝 기초, 유형별 학습, 자격 취득 및 실무 역량","빅데이터, 인공지능","데이터분석, 데이터전처리, 머신러닝, 딥러닝",,데이터모델링,"AICE 자격증, 기초/입문"
(콜로소)쉽게 배우는 프롬프트 엔지니어링 기법 12가지와 GPTs 수익화,"프롬프트 엔지니어링(12가지 기법), GPTs 수익화, ChatGPT 실무 활용, 업무 자동화, 커스텀 GPT 개발, 생산성 향상, 주니어 개발자 역량 강화, 초급·입문, 결과물 고도화, 내일배움카드",인공지능,"프롬프트엔지니어링, 생성형AI",ChatGPT,"서비스기획, 업무자동화",기초/입문
ChatGPT를 활용한 콘텐츠 생성 플랫폼 개발: Spring Boot 실무 가이드,"Spring Boot, ChatGPT API 연동, JPA, 데이터베이스(RDBMS), 콘텐츠 생성 플랫폼 개발, 비즈니스 로직 구현, 백엔드 실무, 실전 프로젝트, 중급 개발 역량","웹개발, 인공지능","API, 데이터베이스","Spring Boot, ChatGPT, MySQL","백엔드개발, 시스템설계","심화/고급, 실무프로젝트"
"챗GPT-랭체인으로 AI 웹서비스 만들기(ChatGPT4, Langchain, Llama Index, Python, Gradio)","ChatGPT-4, LangChain, Llama Index, Python, Gradio, AI 웹 서비스 개발, RAG(검색 증강 생성), 초급 개발자 업스킬(Up-skill), 생산성 향상, 최신 AI 기술 접목, 중급","웹개발, 인공지능","생성형AI, RAG, 웹개발","ChatGPT, LangChain, Python","백엔드개발, 시스템설계",심화/고급
[한글과컴퓨터] Hancom AI Academy,"딥러닝, 자연어 처리(NLP), 파이썬(Python), 데이터 분석, 데이터 전처리, 데이터 모델링, 머신러닝, 신경망, 통계학, ADsP, SQL, 데이터베이스, 알고리즘, 텍스트 마이닝, 특성 공학(Feature Engineering), 컴퓨팅 사고력, 소프트웨어 공학, 클라우드 컴퓨팅, 풀스택 개발, 정보처리기사, IT 전공 여부, 직무 경험 데이터.","빅데이터, 인공지능, 웹개발","딥러닝, 머신러닝, 자연어처리(NLP), 데이터분석, 데이터전처리, 특성공학","Python, SQL","데이터모델링, 풀스택개발","ADsP 자격증, 정보처리기사, 전공자우대"
AI기반 자율주행(ROS2) 산업융합 Biz모델 개발 과정,"AI 기반 자율주행, ROS2, Python, AI 프로그래밍, 로봇 시스템 설계, 서비스 모델링, 배포, 자율주행 SW 엔지니어, 스마트시티, AI 비전, AMR(자율이동로봇), NCS 5수준, 산업융합, 비즈니스 모델, IT 직무 역량","임베디드/로봇, 인공지능","자율주행, 컴퓨터비전","ROS, Python","시스템설계, 소프트웨어개발",NCS 5수준
AI Agent를 활용한 디지털 미디어 콘텐츠 Innovator,"AI Agent, 멀티 AI Agent, 디지털 미디어 콘텐츠, 융합기술, SW 개발 역량, 미디어 경력, 인턴 경험, 공모전 출품, IT 전공, 미디어 전공, 정보처리기사, 프로젝트 관리, 이해관계자 협업, 취업 의지, 창업 가능성, 지원 동기, 수료 의지.","미디어, 인공지능","생성형AI, 소프트웨어개발",,"콘텐츠제작, PM","전공자우대, 정보처리기사, 포트폴리오"
[스킬업] AI가 처음이어도 쉽게 배우는 생성형 AI A to Z,"생성형 AI, 중급, 웹 개발, 파이썬(Python), AI 서비스 개발, Gradio, Hugging Face, ChatGPT API, LangChain, Transformers, Embeddings, VectorStore, DALL-E 3, LLM 응용, 프롬프트 엔지니어링, 인공지능 기초.","웹개발, 인공지능","생성형AI, 웹개발, LLM, 텍스트임베딩, 프롬프트엔지니어링, 벡터DB","Python, ChatGPT, LangChain","백엔드개발, 서비스기획",심화/고급
언어지능기반 분석서비스 개발자과정,"언어 지능, 분석 서비스 개발, 4년제 학위, 컴퓨터 전공, 경영·통계 전공, NCS 응용SW엔지니어링 L2, JAVA, Python, 정보처리기사, ADsP, SQLD, 응용 소프트웨어 개발 경력, 데이터 분석 유경험, 공모전 수상, 석박사 학위, 개발 환경 구축, 프로그래밍 언어 활용.","인공지능, 빅데이터","자연어처리(NLP), 데이터분석","Java, Python","백엔드개발, 소프트웨어개발","전공자우대, 자격증, NCS 2수준"
[왕초보] 노코드로 수익형 AI 앱 만들기,"노코드(No-code), 수익형 AI 앱, 초급, 플러터플로우(FlutterFlow), ChatGPT 연동, 앱 배포, 앱스토어, 수익화, 광고 연동, 디지털 트랜스포메이션(DX), 비개발자, 앱 개발 역량, AI 서비스, 실무 활용.","모바일개발, 인공지능","생성형AI, 노코드",,"앱개발, 서비스기획",비전공자/입문
"(산대특)생성형AI, 챗GPT활용 빅데이터 분석과 자동화 시스템(양성)","생성형 AI, ChatGPT, 빅데이터 분석, 자동화 시스템, 실무 능력, 플랫폼 구축, 데이터 처리, 데이터 시각화, AI 모델 응용, 파이썬(Python), 비즈니스 솔루션 설계, 빅데이터 전문가, 자동화 시스템 개발자, 풀스택 개발자, 프로그래밍 기초, 데이터베이스 구축.","빅데이터, 인공지능","생성형AI, 빅데이터분석, 데이터시각화, 자동화","Python, ChatGPT","데이터엔지니어링, 풀스택개발",실무형인재
공공데이터를 이용하는 서울시 교통량 예측 시스템 개발,"서울시 교통량 예측, 공공데이터, AI 기술 개발, 시스템 개발, 비전공자, 입문자, 기초 수리, 프로그래밍, AI 작동 원리, 데이터 흐름, 모델 구조, 개념적 이해, 선행 학습, 교통 데이터 분석.","빅데이터, 인공지능","데이터분석, 예측모델링",,시스템설계,비전공자/입문
인공지능 첫걸음! 데이터 증강을 활용한 나만의 대화형 AI 언어모델 만들기,"인공지능, 대형언어모델(LLM), 생성형 AI, ChatGPT, LLaMA, OpenAI, 프롬프트 엔지니어링, API 활용, 파이썬(Python), 데이터 증강, 확률 및 통계, 대화형 AI, AI 서비스 개발, 인공지능 서비스 구현, 실무 적용, 프로젝트 수행.",인공지능,"생성형AI, LLM, 프롬프트엔지니어링, API, 통계분석","Python, ChatGPT","데이터모델링, 서비스기획",실무프로젝트
챗GPT&AI활용 업무자동화 (엑셀활용),"생성형 AI, 프롬프트 엔지니어링, 엑셀(Excel), VBA, 업무 자동화, 매크로, 데이터 분석, 데이터 시각화, AI 호출, 업무 효율화, 사무 자동화, 디지털 전환(DX), AI 리터러시, 엑셀 고급 활용, 데이터 취합, 데이터 정리, 시장조사 데이터, 설문조사 데이터, 종로여성인력개발센터.","인공지능, 직무공통","생성형AI, 프롬프트엔지니어링, 업무자동화, 데이터분석","Excel, VBA","사무행정, 업무자동화",기초/입문
한 방에 끝내는 AI - 왕초보를 위한 인공지능 A-Z,"인공지능(AI), 왕초보, 기초 개념, AI 이론, AI 서비스 개발, 개발 프로세스, AI 서비스 엔지니어, KDT 예비 학습, 비전공자, 입문자, 체계적 이해, 사전 지식 불필요, 기초 역량 강화.",인공지능,인공지능기초,,서비스기획,"비전공자/입문, K-Digital"
"딥러닝 모델(자연어처리, 컴퓨터비전) 기반 AI 엔지니어 부트캠프","AI 엔지니어, 딥러닝, 자연어 처리(NLP), 컴퓨터 비전(CV), 부트캠프, 국민내일배움카드, 유관 전공(컴퓨터공학·통계학·산업공학), 데이터 분석, AI 모델링, 백엔드 개발, 애자일 스크럼(Agile Scrum), Python, 수학 및 통계 지식, 머신러닝, Git/Github, 프리코스, 학습 몰입(주 70시간), 성장 지향성, 문제 해결 능력, 협업 및 소통.",인공지능,"딥러닝, 자연어처리(NLP), 컴퓨터비전, 머신러닝","Python, GitHub","데이터엔지니어링, 백엔드개발","전공자우대, 실무프로젝트"
[생성형AI 기반] Spring Boot & AI 융합 지능형 백엔드 개발자 과정,"Spring Boot, 생성형 AI, 지능형 백엔드 개발자, FastAPI, Flask, RESTful API, GraphQL, OAuth 2.0, JWT, 데이터베이스(MySQL, PostgreSQL, MongoDB, Redis), 머신러닝, 딥러닝, Scikit-learn, TensorFlow, PyTorch, CNN, RNN, GAN, Transformer, 하이퍼파라미터 튜닝, 데이터 증강, 모델 경량화(ONNX, TensorRT, OpenVINO), Pandas, NumPy, OpenCV, 웹 크롤링(BeautifulSoup, Selenium), 데이터 시각화(Matplotlib, Seaborn), Feature Engineering, AI 모델 서빙(TensorFlow Serving, TorchServe), MLOps, CI/CD, 클라우드 배포(AWS, GCP, Azure ML), 정보처리기사, ADsP, IT/SW 전공자, 실무 프로젝트.","웹개발, 인공지능","생성형AI, 웹개발, 딥러닝, MLOps, CI/CD, 클라우드","Spring Boot, FastAPI, MySQL, PyTorch, TensorFlow, AWS","백엔드개발, 데이터엔지니어링","전공자우대, 실무프로젝트, 자격증"
[MBC 미디어 캠퍼스] AI 기반 데이터 저널리스트 양성 과정,"저널리즘 윤리, 미디어 리터러시, 생성형 AI, 로봇 저널리즘, 디지털 휴먼, 가상 보도, 뉴스 제작 자동화, 빅데이터 수집 및 분석, 데이터 기반 뉴스 기획, 자동 시각화 기술, 6개월 대면 훈련, 심층 면접 선발, 영상·디자인 전공 권장, 취업·창업 의지, 실무 프로젝트.","미디어, 인공지능, 빅데이터","생성형AI, 빅데이터수집, 데이터분석, 자동화",,"콘텐츠제작, 서비스기획","전공자우대, 실무프로젝트"
(산대특) 생성형AI 활용 데이터 플랫폼 개발자(양성),"Python(기초~고급), 웹 크롤링, API 데이터 수집, Pandas, 데이터 전처리, 데이터 분석, 통계적 이해, 시각화, 머신러닝, 딥러닝, TensorFlow, 생성형 AI(ChatGPT, Canva), GPT API, LangChain, 프롬프트 설계, AI 콘텐츠 자동화, 마이크로서비스(MSA), Git/GitHub, CI/CD, AWS, MLOps, UI/UX 기획, Figma, 사용자 흐름도(User Flow), 데이터 플랫폼 기획·개발","웹개발, 인공지능, 빅데이터","생성형AI, 데이터분석, MSA, MLOps, CI/CD","Python, Pandas, TensorFlow, ChatGPT, AWS, Figma","백엔드개발, 시스템설계, UI/UX기획",실무형인재
